Institution Name,Total price for in-state students living off campus (with family)  2021-22 (DRVIC2021)
Roanoke College,51580
Roanoke-Chowan Community College,8342
Robert Morris University,40908
Roberts Wesleyan College,40678
Robeson Community College,9933
Rochester Community and Technical College,14872
Rochester Institute of Technology,55106
Rochester University,28954
Rock Valley College,13179
Rockford University,39100
Rockhurst University,47335
Rockingham Community College,8016
Rockland Community College,10820
Rocky Mountain College,35905
Rocky Mountain College of Art and Design,25739
Roger Williams University,43598
Rogers State University,15254
Rogue Community College,9711
Rollins College,58760
Roosevelt University,38193
Rose State College,12394
Rose-Hulman Institute of Technology,56490
Rosedale Bible College,15272
Rosedale Technical College,22663
Rosemont College,27303
Rowan College at Burlington County,10109
Rowan College of South Jersey Gloucester Campus,10238
Rowan College South Jersey Cumberland Campus,10238
Rowan University,20536
Rowan-Cabarrus Community College,7526
Roxbury Community College,10230
Russell Sage College,43694
Rust College,13100
Rutgers University-Camden,23648
Rutgers University-New Brunswick,23795
Rutgers University-Newark,23199
SABER College,
Sacramento City College,6686
Sacred Heart Major Seminary,24942
Sacred Heart University,49580
Saddleback College,7300
SAE Expression College,24551
SAE Institute of Technology-Nashville,35999
Saginaw Chippewa Tribal College,7239
Saginaw Valley State University,14930
Saint Ambrose University,38540
Saint Anselm College,50770
Saint Anthony College of Nursing,33151
Saint Augustine's University,21721
Saint Charles Borromeo Seminary-Overbrook,25384
Saint Cloud State University,12970
Saint Edward's University,54136
Saint Elizabeth College of Nursing,28300
Saint Elizabeth University,41084
Saint Francis University,48602
Saint John Fisher College,40452
Saint Johns River State College,8688
Saint Johns University,52742
Saint Joseph Seminary College,
Saint Joseph's College of Maine,43886
Saint Joseph's University,51445
Saint Leo University,29618
Saint Louis Christian College,19430
Saint Louis Community College,13395
Saint Louis University,53670
Saint Martin's University,44690
Saint Mary's College,51010
Saint Mary's College of California,55418
Saint Mary's University of Minnesota,53010
Saint Mary-of-the-Woods College,36634
Saint Michael's College,52009
Saint Norbert College,45109
Saint Paul College,13761
Saint Peter's University,43110
Saint Vincent College,45106
Saint Xavier University,38870
Salem College,35016
Salem Community College,13640
Salem State University,19633
Salem University,16150
Salina Area Technical College,10876
Salisbury University,14188
Salish Kootenai College,10299
Salt Lake Community College,8836
Salve Regina University,49470
Sam Houston State University,14206
Samaritan Hospital School of Nursing,22182
Samford University,41700
Sampson Community College,10709
San Antonio College,12216
San Bernardino Valley College,9930
San Diego Christian College,39712
San Diego City College,6546
San Diego Global Knowledge University,24987
San Diego Mesa College,6546
San Diego Miramar College,6546
San Diego State University,13186
San Francisco Conservatory of Music,53915
San Francisco State University,12164
San Ignacio University,14005
San Jacinto Community College,9812
San Joaquin Delta College,6688
San Joaquin Valley College-Visalia,
San Jose City College,17960
San Jose State University,12714
San Juan Bautista School of Medicine,13844
San Juan College,7450
Sandhills Community College,14677
Santa Ana College,6582
Santa Barbara Business College-Bakersfield,16005
Santa Barbara City College,6632
Santa Clara University,61260
Santa Fe College,8449
Santa Fe Community College,7894
Santa Monica College,7154
Santa Rosa Junior College,8836
Santiago Canyon College,7692
Sarah Lawrence College,60870
Sauk Valley Community College,18200
Savannah College of Art and Design,44342
Savannah State University,9952
Savannah Technical College,7638
Schenectady County Community College,9433
Schiller International University,17360
School of the Art Institute of Chicago,57480
School of Visual Arts,52368
Schoolcraft College,11201
Schreiner University,36027
Scottsdale Community College,14010
Scripps College,
Seattle Central College,8594
Seattle Film Institute,34724
Seattle Pacific University,40362
Seattle University,54135
Seminar L'moros Bais Yaakov,15700
Seminary Bnos Chaim,17700
Seminole State College,13155
Seminole State College of Florida,7735
Sessions College for Professional Design,16248
Seton Hall University,51580
Seton Hill University,42568
Seward County Community College,9328
Sh'or Yoshuv Rabbinical College,16500
Shasta Bible College and Graduate School,17960
Shasta College,6157
Shaw University,22170
Shawnee Community College,13428
Shawnee State University,14030
Shelton State Community College,9907
Shenandoah University,39970
Shepherd University,12284
Shippensburg University of Pennsylvania,18126
Shoreline Community College,8381
Shorter College,9760
Shorter University,27745
Siena College,45042
Siena Heights University,31301
Sierra College,6044
Sierra Nevada University,39408
Simmons College of Kentucky,20198
Simmons University,48252
Simpson College,48728
Simpson University,40301
Sinclair Community College,9412
Sinte Gleska University,11154
Sioux Falls Seminary,7100
Sisseton Wahpeton College,11110
Sitting Bull College,8710
Skagit Valley College,8291
Skidmore College,68266
Skyline College,6864
Slippery Rock University of Pennsylvania,17467
Smith College,67534
Snead State Community College,12018
Snow College,8000
Soka University of America,39360
Solano Community College,6570
Somerset Community College,8634
Sonoma State University,12556
South Arkansas Community College,9770
South Carolina State University,21060
South Central College,11216
South College,23190
South Dakota School of Mines and Technology,18570
South Dakota State University,14084
South Florida Bible College and Theological Seminary,12447
South Florida State College,7893
South Georgia State College,9712
South Georgia Technical College,8723
South Louisiana Community College,10695
South Mountain Community College,14010
South Piedmont Community College,11677
South Plains College,10037
South Puget Sound Community College,9010
South Seattle College,8890
South Suburban College,16533
South Texas College,7130
South University-Austin,23261
South University-Columbia,23261
South University-High Point,25601
South University-Montgomery,23261
South University-Richmond,23261
South University-Savannah,23261
South University-Savannah Online,20741
South University-Tampa,23261
South University-Virginia Beach,23261
South University-West Palm Beach,23261
Southcentral Kentucky Community and Technical College,8634
Southeast Arkansas College,9111
Southeast Community College Area,6337
Southeast Kentucky Community & Technical College,8634
Southeast Missouri Hospital College of Nursing and Health Sciences,14864
Southeast Missouri State University,14300
Southeast New Mexico College,7452
Southeast Technical College,15581
Southeastern Baptist College,7775
Southeastern Baptist Theological Seminary,19002
Southeastern Community College,7600
Southeastern Community College,11932
Southeastern Free Will Baptist Bible College,18410
Southeastern Illinois College,11203
Southeastern Louisiana University,14779
Southeastern Oklahoma State University,12890
Southeastern Technical College,9223
Southeastern University,32320
Southern Adventist University,28560
Southern Arkansas University Main Campus,17782
Southern Arkansas University Tech,12790
Southern California Institute of Architecture,56880
Southern California Institute of Technology,24580
Southern California Seminary,23241
Southern Connecticut State University,18504
Southern Crescent Technical College,8796
Southern Illinois University-Carbondale,19281
Southern Illinois University-Edwardsville,16126
Southern Maine Community College,11240
Southern Methodist University,63636
Southern Nazarene University,32100
Southern New Hampshire University,27318
Southern Oregon University,13641
Southern Regional Technical College,6002
Southern State Community College,10747
Southern States University,8119
Southern Technical College,19397
Southern Union State Community College,14860
Southern University and A & M College,15113
Southern University at New Orleans,13489
Southern University at Shreveport,10400
Southern Utah University,13126
Southern Virginia University,22960
Southern Wesleyan University,29508
Southern West Virginia Community and Technical College,9284
Southside Virginia Community College,11281
Southwest Baptist University,29628
Southwest Collegiate Institute for the Deaf,9528
Southwest Minnesota State University,13692
Southwest Mississippi Community College,7980
Southwest Tennessee Community College,8965
Southwest Texas Junior College,10875
Southwest University at El Paso,23210
Southwest Virginia Community College,14333
Southwest Wisconsin Technical College,10271
Southwestern Adventist University,27608
Southwestern Assemblies of God University,23646
Southwestern Christian College,10936
Southwestern Christian University,24148
Southwestern College,43464
Southwestern College,15364
Southwestern Community College,11172
Southwestern Community College,8961
Southwestern Illinois College,12826
Southwestern Indian Polytechnic Institute,10044
Southwestern Michigan College,10762
Southwestern Oklahoma State University,15343
Southwestern Oregon Community College,10137
Southwestern University,50490
SOWELA Technical Community College,10755
Spalding University,37578
Spartan College of Aeronautics and Technology,28121
Spartanburg Community College,10153
Spartanburg Methodist College,23480
Spelman College,33181
Spokane Community College,8560
Spokane Falls Community College,8560
Spoon River College,15530
Spring Arbor University,33660
Spring Hill College,26012
Springfield College,44030
Springfield Technical Community College,12849
St Bonaventure University,40140
St Catherine University,50294
St Charles Community College,8852
St Clair County Community College,12442
St Cloud Technical and Community College,11374
St Joseph School of Nursing,24664
St Lawrence University,62970
St Louis College of Health Careers-Fenton,
St Luke's College,26108
St Olaf College,54570
St Petersburg College,9282
St Philip's College,12216
St. Andrews University,39484
St. Augustine College,14920
St. Francis College,32498
St. John Vianney College Seminary,
St. John's College,37600
St. John's College,37010
St. John's University-New York,52658
St. Joseph's College of Nursing,26369
St. Joseph's University-New York,35576
St. Mary's College of Maryland,17494
St. Mary's University,38864
St. Peter's Hospital College of Nursing,22182
St. Thomas Aquinas College,39450
St. Thomas University,40131
Stanbridge University,
Stanford University,
Stanly Community College,10796
Stark State College,8298
State College of Florida-Manatee-Sarasota,13604
State Fair Community College,10031
State Technical College of Missouri,12595
State University of New York at New Paltz,12893
Stephen F Austin State University,15476
Stephens College,31570
Sterling College,44400
Sterling College,33950
Stetson University,55000
Stevens Institute of Technology,59670
Stevens-The Institute of Business & Arts,19053
Stevenson University,43668
Stillman College,17998
Stockton University,21751
Stone Child College,10415
Stonehill College,50308
Stony Brook University,18019
Stratford University,21393
Strayer University-Alabama,15765
Strayer University-Arkansas,15765
Strayer University-Delaware,15765
Strayer University-District of Columbia,15765
Strayer University-Florida,15765
Strayer University-Georgia,15765
Strayer University-Global Region,15765
Strayer University-Maryland,15765
Strayer University-Mississippi,15765
Strayer University-New Jersey,15765
Strayer University-North Carolina,15765
Strayer University-Pennsylvania,15765
Strayer University-South Carolina,15765
Strayer University-Tennessee,15765
Strayer University-Texas,15765
Strayer University-Virginia,15765
Strayer University-West Virginia,15765
Suffolk County Community College,10780
Suffolk University,47648
Sul Ross State University,13142
Sullivan County Community College,9778
Sullivan University,24131
SUM Bible College and Theological Seminary,14077
Summit Christian College,22622
Sumner College,
SUNY Adirondack,10484
SUNY at Albany,13578
SUNY at Fredonia,12907
SUNY at Purchase College,14113
SUNY Brockport,13566
SUNY Broome Community College,10736
SUNY Buffalo State,12764
SUNY College at Geneseo,12427
SUNY College at Old Westbury,14179
SUNY College at Oswego,12069
SUNY College at Plattsburgh,14919
SUNY College at Potsdam,12012
SUNY College of Agriculture and Technology at Cobleskill,12744
SUNY College of Environmental Science and Forestry,12856
SUNY College of Technology at Alfred,13282
SUNY College of Technology at Canton,13899
SUNY College of Technology at Delhi,13140
SUNY Corning Community College,9266
SUNY Cortland,13350
SUNY Empire State College,10384
SUNY Maritime College,13622
SUNY Morrisville,12351
SUNY Oneonta,12388
SUNY Polytechnic Institute,12448
SUNY Westchester Community College,11974
Surry Community College,12638
Susquehanna University,58150
Sussex County Community College,14481
Swarthmore College,
Sweet Briar College,27230
Syracuse University,61001
Tabor College,36200
Tacoma Community College,9144
Taft College,6508
Talladega College,18786
Tallahassee Community College,4826
Talmudic College of Florida,22750
Talmudical Academy-New Jersey,20100
Talmudical Institute of Upstate New York,11950
Talmudical Seminary of Bobov,18000
Talmudical Seminary Oholei Torah,16800
Talmudical Yeshiva of Philadelphia,
Tarleton State University,12080
Tarrant County College District,9921
Taylor University,40070
Technical College of the Lowcountry,11850
Telshe Yeshiva-Chicago,21800
Temple College,8912
Temple University,21474
Tennessee State University,15856
Tennessee Technological University,16482
Tennessee Wesleyan University,31490
Terra State Community College,12798
Texarkana College,10284
Texas A & M International University,14115
Texas A & M University-College Station,20303
Texas A & M University-Commerce,15126
Texas A & M University-Corpus Christi,14768
Texas A & M University-Kingsville,14413
Texas A&M University-Central Texas,11349
Texas A&M University-San Antonio,15555
Texas A&M University-Texarkana,12742
Texas Christian University,56388
Texas College,13808
Texas County Technical College,24370
Texas Lutheran University,36700
Texas Southern University,15795
Texas Southmost College,9444
Texas State Technical College,11837
Texas State University,17635
Texas Tech University,17436
Texas Wesleyan University,38612
Texas Woman's University,11955
Thaddeus Stevens College of Technology,11956
The Art Institute of Atlanta,33097
The Art Institute of Austin,35022
The Art Institute of Houston,34147
The Art Institute of San Antonio,32257
The Art Institute of Virginia Beach,32992
The Baptist College of Florida,15200
The Catholic University of America,56306
The Chicago School of Professional Psychology at Chicago,22400
The Chicago School of Professional Psychology at Los Angeles,22400
The Chicago School of Professional Psychology at San Diego,22400
The Christ College of Nursing and Health Sciences,24205
The College of Health Care Professions-Northwest,
The College of Idaho,37155
The College of New Jersey,23699
The College of Saint Rose,39060
The College of Saint Scholastica,42962
The College of the Florida Keys,9259
The College of Westchester,28175
The College of Wooster,57750
The Evergreen State College,16959
The Juilliard School,56824
The King's College,41523
The King's University,21495
The Landing School,31362
The Master's University and Seminary,33271
The Modern College of Design,39111
The New England Conservatory of Music,57170
The New School,57344
The North Coast College,28143
The Pennsylvania State University,24842
The University of Alabama,18162
The University of Findlay,41692
The University of Montana,12682
The University of Montana-Western,10250
The University of Tampa,37404
The University of Tennessee Southern,21600
The University of Tennessee-Chattanooga,15298
The University of Tennessee-Knoxville,20508
The University of Tennessee-Martin,16930
The University of Texas at Arlington,17743
The University of Texas at Austin,17020
The University of Texas at Dallas,20686
The University of Texas at El Paso,15608
The University of Texas at San Antonio,14463
The University of Texas at Tyler,15710
The University of Texas Permian Basin,14230
The University of Texas Rio Grande Valley,15369
The University of the Arts,53507
The University of the South,52368
The University of West Florida,10260
Thiel College,38970
Thomas Aquinas College,30324
Thomas College,32752
Thomas Edison State University,9449
Thomas Jefferson University,49574
Thomas More College of Liberal Arts,31650
Thomas More University,39903
Thomas University,15060
Three Rivers College,13411
Three Rivers Community College,9796
Tidewater Community College,12311
Tiffin University,32980
Tillamook Bay Community College,6722
Toccoa Falls College,26790
Tohono O'Odham Community College,8282
Tompkins Cortland Community College,10525
Torah Temimah Talmudical Seminary,17650
Tougaloo College,16701
Touro College,26762
Touro University Worldwide,18928
Towson University,14894
Transylvania University,46770
Treasure Valley Community College,7929
Trevecca Nazarene University,35090
Tri-County Community College,8929
Tri-County Technical College,13685
Tri-State Bible College,14768
Triad Education,22678
Trident Technical College,9563
Trine University,38780
Trine University-Regional/Non-Traditional Campuses,12476
Trinidad State College,12886
Trinity Baptist College,18218
Trinity Bible College and Graduate School,21436
Trinity Christian College,38405
Trinity College,63870
Trinity College of Florida,20150
Trinity College of Nursing & Health Sciences,35734
Trinity International University-Florida,22152
Trinity International University-Illinois,37083
Trinity University,56696
Trinity Valley Community College,11441
Trinity Washington University,28940
Triton College,16006
Trocaire College,24000
Troy University,15378
Truckee Meadows Community College,8506
Truett McConnell University,27952
Truman State University,13489
Tufts University,72100
Tulane University of Louisiana,67860
Tulsa Community College,8125
Tunxis Community College,12974
Turtle Mountain Community College,8288
Tusculum University,34024
Tuskegee University,29281
Tyler Junior College,12556
Ulster County Community College,10040
Ultimate Medical Academy,
Umpqua Community College,9632
Union Bible College,10810
Union College,70065
Union College,32060
Union College,34314
Union County College,17416
Union Institute & University,19557
Union University,46450
United International College,27964
United States Merchant Marine Academy,
United States Sports Academy,20424
United States University,10335
United Talmudical Seminary,20250
United Tribes Technical College,6852
Unitek College,
Unity College,14420
Universal Technology College of Puerto Rico,
Universidad Adventista de las Antillas,12650
Universidad Ana G. Mendez-Carolina Campus,12320
Universidad Ana G. Mendez-Cupey Campus,12320
Universidad Ana G. Mendez-Gurabo Campus,12320
Universidad Central de Bayamon,11022
Universidad Central Del Caribe,14697
Universidad del Sagrado Corazon,16120
Universidad Pentecostal Mizpa,8156
Universidad Politecnica de Puerto Rico,18409
Universidad Teologica del Caribe,10360
University at Buffalo,14788
University of Advancing Technology,24966
University of Akron Main Campus,15946
University of Akron Wayne College,10571
University of Alabama at Birmingham,15323
University of Alabama in Huntsville,17944
University of Alaska Anchorage,19705
University of Alaska Fairbanks,13498
University of Alaska Southeast,12076
University of Antelope Valley,
University of Arizona,17236
University of Arkansas,15036
University of Arkansas at Little Rock,15290
University of Arkansas at Monticello,14215
University of Arkansas at Pine Bluff,14154
University of Arkansas Community College Rich Mountain,8556
University of Arkansas Community College-Batesville,11935
University of Arkansas Community College-Morrilton,10986
University of Arkansas Hope-Texarkana,9231
University of Arkansas System eVersity,11175
University of Arkansas-Fort Smith,12658
University of Arkansas-Pulaski Technical College,12864
University of Baltimore,15114
University of Bridgeport,45542
University of California-Berkeley,30075
University of California-Davis,29542
University of California-Irvine,27999
University of California-Los Angeles,28405
University of California-Merced,27844
University of California-Riverside,28001
University of California-San Diego,28765
University of California-Santa Barbara,29959
University of California-Santa Cruz,29149
University of Central Arkansas,17409
University of Central Florida,12538
University of Central Missouri,13245
University of Central Oklahoma,18830
University of Charleston,35550
University of Chicago,
University of Cincinnati-Blue Ash College,9792
University of Cincinnati-Clermont College,9386
University of Cincinnati-Main Campus,15898
University of Colorado Boulder,18502
University of Colorado Colorado Springs,15226
University of Colorado Denver/Anschutz Medical Campus,17144
University of Connecticut,22228
University of Connecticut-Avery Point,19582
University of Connecticut-Hartford Campus,19572
University of Connecticut-Stamford,19592
University of Connecticut-Waterbury Campus,19582
University of Dallas,50484
University of Dayton,47640
University of Delaware,17020
University of Denver,58687
University of Detroit Mercy,36166
University of Dubuque,38460
University of Evansville,43506
University of Florida,10841
University of Florida-Online,7536
University of Fort Lauderdale,12565
University of Georgia,18260
University of Guam,11704
University of Hartford,49529
University of Hawaii at Hilo,14376
University of Hawaii at Manoa,16278
University of Hawaii Maui College,9616
University of Hawaii-West Oahu,13870
University of Health Sciences and Pharmacy in St. Louis,42726
University of Holy Cross,20538
University of Houston,16112
University of Houston-Clear Lake,19121
University of Houston-Downtown,16358
University of Houston-Victoria,13493
University of Idaho,12644
University of Illinois Chicago,18726
University of Illinois Springfield,16411
University of Illinois Urbana-Champaign,
University of Indianapolis,39156
University of Iowa,15034
University of Jamestown,27998
University of Kansas,15620
University of Kentucky,17690
University of La Verne,51250
University of Louisiana at Lafayette,16836
University of Louisiana at Monroe,15548
University of Louisville,21134
University of Lynchburg,39300
University of Maine,15256
University of Maine at Augusta,13178
University of Maine at Farmington,13536
University of Maine at Fort Kent,12271
University of Maine at Presque Isle,11895
University of Management and Technology,10190
University of Mary,24133
University of Mary Hardin-Baylor,35830
University of Mary Washington,18790
University of Maryland Eastern Shore,20291
University of Maryland Global Campus,15532
University of Maryland-Baltimore County,22920
University of Maryland-College Park,16407
University of Massachusetts Global,17880
University of Massachusetts-Amherst,20839
University of Massachusetts-Boston,18447
University of Massachusetts-Dartmouth,19180
University of Massachusetts-Lowell,20322
University of Memphis,17075
University of Miami,59350
University of Michigan-Ann Arbor,25094
University of Michigan-Dearborn,18504
University of Michigan-Flint,17928
University of Minnesota-Crookston,16340
University of Minnesota-Duluth,17398
University of Minnesota-Morris,16498
University of Minnesota-Rochester,16346
University of Minnesota-Twin Cities,18482
University of Mississippi,15814
University of Missouri-Columbia,21043
University of Missouri-Kansas City,15823
University of Missouri-St Louis,18996
University of Mobile,31455
University of Montevallo,18110
University of Mount Olive,25768
University of Mount Union,36972
University of Nebraska at Kearney,13220
University of Nebraska at Omaha,13026
University of Nebraska-Lincoln,14396
University of Nevada-Las Vegas,16573
University of Nevada-Reno,14580
University of New England,44870
University of New Hampshire at Manchester,19985
University of New Hampshire-Main Campus,23162
University of New Haven,49762
University of New Mexico-Gallup Campus,7356
University of New Mexico-Los Alamos Campus,7600
University of New Mexico-Main Campus,13329
University of New Mexico-Taos Campus,7280
University of New Mexico-Valencia County Campus,7302
University of New Orleans,15852
University of North Alabama,14920
University of North Carolina at Asheville,12083
University of North Carolina at Chapel Hill,12888
University of North Carolina at Charlotte,10722
University of North Carolina at Greensboro,12664
University of North Carolina at Pembroke,7259
University of North Carolina School of the Arts,11608
University of North Carolina Wilmington,14509
University of North Dakota,14842
University of North Florida,11563
University of North Georgia,11041
University of North Texas,16404
University of North Texas at Dallas,15488
University of Northern Colorado,15312
University of Northern Iowa,12249
University of Northwestern Ohio,17250
University of Northwestern-St Paul,40260
University of Notre Dame,62043
University of Oklahoma-Norman Campus,19593
University of Oregon,17775
University of Pennsylvania,65994
University of Phoenix-Arizona,13812
University of Pikeville,27690
University of Pittsburgh-Bradford,19998
University of Pittsburgh-Greensburg,19988
University of Pittsburgh-Johnstown,19996
University of Pittsburgh-Pittsburgh Campus,24580
University of Pittsburgh-Titusville,17436
University of Portland,53480
University of Providence,31812
University of Puerto Rico at Ponce,11889
University of Puerto Rico-Aguadilla,10989
University of Puerto Rico-Arecibo,11859
University of Puerto Rico-Bayamon,11091
University of Puerto Rico-Carolina,13203
University of Puerto Rico-Cayey,11709
University of Puerto Rico-Humacao,13899
University of Puerto Rico-Mayaguez,11789
University of Puerto Rico-Rio Piedras,10108
University of Puerto Rico-Utuado,11889
University of Puget Sound,59184
University of Redlands,59466
University of Rhode Island,25960
University of Richmond,60640
University of Rio Grande,27148
University of Rochester,
University of Saint Francis-Fort Wayne,37590
University of Saint Joseph,46834
University of Saint Katherine,32100
University of Saint Mary,36160
University of San Diego,58243
University of San Francisco,58852
University of Science and Arts of Oklahoma,13170
University of Scranton,54334
University of Silicon Valley,26584
University of Sioux Falls,23775
University of South Alabama,14818
University of South Carolina Aiken,15870
University of South Carolina Beaufort,16183
University of South Carolina-Columbia,18159
University of South Carolina-Lancaster,13471
University of South Carolina-Salkehatchie,13471
University of South Carolina-Sumter,13471
University of South Carolina-Union,13471
University of South Carolina-Upstate,17848
University of South Dakota,15257
University of South Florida,11610
University of Southern California,66259
University of Southern Indiana,13424
University of Southern Maine,13504
University of Southern Mississippi,15230
University of St Francis,39920
University of St Thomas,51838
University of St Thomas,37416
University of the Cumberlands,19289
University of the District of Columbia,12821
University of the Incarnate Word,38280
University of the Ozarks,28350
University of the Pacific,57752
University of the Potomac-VA Campus,13460
University of the Potomac-Washington DC Campus,13460
University of the Sciences,32950
University of the Southwest,19000
University of the Virgin Islands,10307
University of the West,19005
University of Toledo,17817
University of Tulsa,53843
University of Utah,13601
University of Valley Forge,31260
University of Vermont,24630
University of Virginia's College at Wise,15732
University of Virginia-Main Campus,23224
University of Washington-Bothell Campus,16723
University of Washington-Seattle Campus,15985
University of Washington-Tacoma Campus,16456
University of West Alabama,15711
University of West Georgia,15373
University of Wisconsin-Eau Claire,11904
University of Wisconsin-Green Bay,11575
University of Wisconsin-La Crosse,11343
University of Wisconsin-Madison,14870
University of Wisconsin-Milwaukee,13882
University of Wisconsin-Milwaukee Flex,9690
University of Wisconsin-Oshkosh,11433
University of Wisconsin-Parkside,11696
University of Wisconsin-Parkside Flex,9690
University of Wisconsin-Platteville,12703
University of Wisconsin-River Falls,12988
University of Wisconsin-Stevens Point,11673
University of Wisconsin-Stout,13321
University of Wisconsin-Superior,14330
University of Wisconsin-Whitewater,11470
University of Wyoming,9069
Upper Iowa University,38648
Urban College of Boston,10864
Urshan College,11122
Ursinus College,65292
Ursuline College,41220
Uta Mesivta of Kiryas Joel,21100
Utah State University,13868
Utah Valley University,10262
Utica University,28009
Valdosta State University,13025
Valencia College,7127
Valley City State University,13097
Valley College-Martinsburg,
Valley Forge Military College,
Valor Christian College,14074
Valparaiso University,47616
Vance-Granville Community College,8775
Vanderbilt University,
VanderCook College of Music,35100
Vanguard University of Southern California,43070
Vassar College,65120
Vaughn College of Aeronautics and Technology,37750
Ventura College,6641
Veritas Baptist College,12876
Vermilion Community College,11718
Vermont Technical College,19332
Vernon College,9990
Victor Valley College,6639
Victoria College,8914
Villa Maria College,29200
Villanova University,64070
Vincennes University,10937
Virginia Commonwealth University,24131
Virginia Highlands Community College,11170
Virginia Military Institute,
Virginia Peninsula Community College,10966
Virginia Polytechnic Institute and State University,18624
Virginia State University,16961
Virginia Union University,23030
Virginia University of Lynchburg,15238
Virginia Wesleyan University,41630
Virginia Western Community College,10941
Visible Music College,31456
Viterbo University,32920
Volunteer State Community College,8144
Voorhees College,18530
Wabash College,48550
Wade College,21337
Wagner College,53696
Wake Forest University,63660
Wake Technical Community College,9168
Walden University,17580
Waldorf University,28318
Walla Walla Community College,9576
Walla Walla University,33513
Walnut Hill College,29900
Walsh University,35848
Walters State Community College,10249
Warner Pacific University,32178
Warner Pacific University Professional and Graduate Studies,23400
Warner University,31974
Warren County Community College,8890
Warren Wilson College,44330
Wartburg College,49900
Washburn University,13179
Washington & Jefferson College,51892
Washington Adventist University,27400
Washington and Lee University,
Washington College,54538
Washington County Community College,9459
Washington State Community College,9065
Washington State University,16919
Washington University in St Louis,65182
Washtenaw Community College,7274
Waubonsee Community College,14831
Waukesha County Technical College,10354
Wave Leadership College,9248
Wayland Baptist University,27254
Wayne Community College,7974
Wayne County Community College District,8135
Wayne State College,12132
Wayne State University,20335
Waynesburg University,30280
Weatherford College,13300
Webb Institute,
Webber International University,35638
Weber State University,11688
Webster University,38080
Welch College,26082
Wellesley College,64602
Wells College,35300
Wenatchee Valley College,8850
Wentworth Institute of Technology,46000
Wesley Biblical Seminary,14500
Wesley College,
Wesleyan College,28890
Wesleyan University,
West Chester University of Pennsylvania,16847
West Coast University-Dallas,25439
West Coast University-Los Angeles,45271
West Coast University-Miami,33235
West Coast University-Ontario,45271
West Coast University-Orange County,31411
West Georgia Technical College,7671
West Hills College-Coalinga,6782
West Hills College-Lemoore,6782
West Kentucky Community and Technical College,8634
West Liberty University,14093
West Los Angeles College,6638
West Shore Community College,9920
West Texas A & M University,15256
West Valley College,8591
West Virginia Northern Community College,8327
West Virginia State University,13204
West Virginia University,13176
West Virginia University at Parkersburg,8890
West Virginia University Institute of Technology,11428
West Virginia Wesleyan College,37677
Westcliff University,20469
Western Carolina University,7921
Western Colorado University,14959
Western Connecticut State University,15331
Western Dakota Technical College,12882
Western Governors University,8352
Western Illinois University,18948
Western Iowa Tech Community College,10937
Western Kentucky University,14107
Western Michigan University,18169
Western Nebraska Community College,7998
Western Nevada College,10211
Western New England University,44910
Western New Mexico University,12446
Western Oklahoma State College,11066
Western Oregon University,13929
Western Piedmont Community College,13095
Western Technical College,
Western Technical College,
Western Technical College,9930
Western Texas College,9650
Western Washington University,13260
Western Wyoming Community College,8729
Westfield State University,15632
Westminster College,44436
Westminster College,42480
Westminster College,39732
Westmont College,53060
Westmoreland County Community College,13412
Wharton County Junior College,9647
Whatcom Community College,9083
Wheaton College,43600
Wheaton College (Massachusetts),67410
Wheeling University,34190
White Earth Tribal and Community College,14751
White Mountains Community College,13614
Whitman College,58182
Whittier College,52014
Whitworth University,55406
Wichita State University,13450
Wichita State University-Campus of Applied Sciences and Technology,9586
Widener University,53468
Wilberforce University,16450
Wiley College,16300
Wilkes Community College,8888
Wilkes University,47147
Willamette University,46626
William & Mary,27396
William Carey University,22070
William Jessup University,42400
William Jewell College,24710
William Paterson University of New Jersey,19261
William Peace University,37888
William Penn University,34400
William R Moore College of Technology,15949
William Rainey Harper College,15390
William Woods University,34812
Williams Baptist University,23620
Williams College,
Williamsburg Technical College,10606
Williamson Christian College,21125
Williamson College of the Trades,
Williston State College,9589
Wilmington College,33270
Wilmington University,15360
Wilson College,29884
Wilson Community College,9132
Windward Community College,7736
Wingate University,48990
Winona State University,13724
Winston-Salem State University,11575
Winthrop University,20598
Wiregrass Georgia Technical College,10242
Wisconsin Lutheran College,36470
Wittenberg University,45488
Wofford College,54012
Women's Institute of Torah Seminary and College,16499
Woodbury University,48818
Woodland Community College,7739
Wor-Wic Community College,12820
Worcester Polytechnic Institute,59631
Worcester State University,14154
World Mission University,11153
Wright State University-Lake Campus,11538
Wright State University-Main Campus,14960
Wytheville Community College,11465
Xavier University,46960
Xavier University of Louisiana,29888
Yakima Valley College,9569
Yale University,
Yavapai College,6124
Yellowstone Christian College,24966
Yeshiva Bais Aharon,15380
Yeshiva Chemdas Hatorah,17950
Yeshiva College of the Nations Capital,12800
Yeshiva D'monsey Rabbinical College,13800
Yeshiva Derech Chaim,17900
Yeshiva Gedola Tiferes Yaakov Yitzchok,
Yeshiva Gedola Tiferes Yerachmiel,
Yeshiva Gedolah Imrei Yosef D'spinka,11200
Yeshiva Gedolah Keren Hatorah,14850
Yeshiva Gedolah Kesser Torah,17100
Yeshiva Gedolah of Cliffwood,
Yeshiva Gedolah of Greater Detroit,14400
Yeshiva Gedolah of Woodlake Village,14500
Yeshiva Gedolah Shaarei Shmuel,
Yeshiva Gedolah Tiferes Boruch,
Yeshiva Gedolah Zichron Leyma,
Yeshiva Karlin Stolin,16800
