Institution Name,Total price for in-state students living off campus (with family)  2021-22 (DRVIC2021)
Eastern Gateway Community College,7210
Eastern Illinois University,16084
Eastern International College-Belleville,21117
Eastern International College-Jersey City,22696
Eastern Iowa Community College District,9892
Eastern Kentucky University,13782
Eastern Maine Community College,10835
Eastern Mennonite University,43800
Eastern Michigan University,20646
Eastern Nazarene College,31112
Eastern New Mexico University Ruidoso Branch Community College,7252
Eastern New Mexico University-Main Campus,11263
Eastern New Mexico University-Roswell Campus,8350
Eastern Oklahoma State College,10067
Eastern Oregon University,14214
Eastern Shore Community College,10300
Eastern University,41125
Eastern Washington University,11996
Eastern West Virginia Community and Technical College,8883
Eastern Wyoming College,8640
Eastwick College-Ramsey,23552
Ecclesia College,23410
Eckerd College,52084
ECPI University,21962
Edgecombe Community College,7920
Edgewood College,36778
Edinboro University of Pennsylvania,16044
Edison State Community College,9206
Edmonds College,8424
EDP University of Puerto Rico Inc-San Juan,10900
EDP University of Puerto Rico Inc-San Sebastian,10900
EDP University of Puerto Rico-Humacao,10900
EDP University of Puerto Rico-Manati,10900
EDP University of Puerto Rico-Villalba,10900
Edward Waters University,19154
El Camino Community College District,7555
El Paso Community College,10079
Elgin Community College,11565
Elim Bible Institute and College,12310
Elizabeth City State University,5916
Elizabethtown College,36950
Elizabethtown Community and Technical College,8634
Ellsworth Community College,11040
Elmhurst University,44800
Elmira College,38878
Elon University,41875
Elyon College,24036
Embry-Riddle Aeronautical University-Daytona Beach,45400
Embry-Riddle Aeronautical University-Prescott,45300
Embry-Riddle Aeronautical University-Worldwide,16456
Emerson College,56800
Emmanuel College,47653
Emmanuel College,26336
Emmaus Bible College,21530
Emory & Henry College,39265
Emory University,59292
Emory University-Oxford College,59292
Emporia State University,11879
Endicott College,39839
Ensign College,8004
Enterprise State Community College,8506
Epic Bible College & Graduate School,13535
Erie Community College,8833
Erskine College,50410
Escuela de Artes Plasticas y Diseno de Puerto Rico,7842
Essex County College,13580
Estrella Mountain Community College,14010
Eureka College,32660
Evangel University,30937
Everett Community College,8277
Everglades University,26288
Evergreen Valley College,8879
Fairfax University of America,17728
Fairfield University,56300
Fairleigh Dickinson University-Florham Campus,40932
Fairleigh Dickinson University-Metropolitan Campus,40932
Fairmont State University,11392
Faith Baptist Bible College and Theological Seminary,22619
Faith International University,15870
Family of Faith Christian University,13632
Farmingdale State College,13026
Fashion Institute of Technology,16963
Faulkner University,29690
Fayetteville State University,8186
Fayetteville Technical Community College,9066
Feather River Community College District,5862
Felbry College School of Nursing,26525
Felician University,41080
Ferris State University,16128
Ferrum College,40830
FIDM-Fashion Institute of Design & Merchandising-Los Angeles,39309
Finger Lakes Community College,10022
Finlandia University,29676
Fisher College,38700
Fisk University,27706
Fitchburg State University,14530
Five Towns College,30635
Flagler College,26140
Flathead Valley Community College,12311
Fletcher Technical Community College,11822
Flint Hills Technical College,16326
Florence-Darlington Technical College,9430
Florida Academy of Nursing,
Florida Agricultural and Mechanical University,13473
Florida Atlantic University,12513
Florida College,21560
Florida Gateway College,6367
Florida Gulf Coast University,10718
Florida Institute of Technology,49066
Florida Institute of Technology-Online,17040
Florida International University,16089
Florida Memorial University,24636
Florida National University-Main Campus,22522
Florida Polytechnic University,10140
Florida Southern College,43094
Florida SouthWestern State College,9986
Florida State College at Jacksonville,5728
Florida State University,12004
Folsom Lake College,6686
Fond du Lac Tribal and Community College,11265
Fontbonne University,35538
Foothill College,8084
Fordham University,60089
Forsyth Technical Community College,8295
Fort Hays State University,10264
Fort Lewis College,12996
Fort Peck Community College,6325
Fort Scott Community College,7823
Fort Valley State University,7832
Fox Valley Technical College,10448
Framingham State University,19330
Francis Marion University,16121
Franciscan Missionaries of Our Lady University,21328
Franciscan University of Steubenville,33550
Frank Phillips College,7996
Franklin and Marshall College,68282
Franklin College,41166
Franklin Pierce University,46600
Franklin University,15695
Franklin W Olin College of Engineering,64802
Frederick Community College,11444
Freed-Hardeman University,26600
Fremont College,
Fresno City College,7688
Fresno Pacific University,37757
Friends University,37559
Front Range Community College,11639
Frostburg State University,15650
Full Sail University,28717
Fullerton College,9294
Fulton-Montgomery Community College,9818
Furman University,56182
Gadsden State Community College,8452
Galen College of Nursing-Cincinnati,
Galen College of Nursing-Louisville,
Galen College of Nursing-San Antonio,
Galen College of Nursing-Tampa Bay,
Galen Health Institutes-Austin Campus,21098
Galen Health Institutes-Miami Campus,
Galen Health Institutes-Nashville Campus,23028
Gallaudet University,24738
Galveston College,9330
Gannon University,38420
Garden City Community College,8114
Gardner-Webb University,39350
Garrett College,13184
Gaston College,8602
Gateway Community and Technical College,8714
Gateway Community College,12459
GateWay Community College,14010
Gateway Technical College,10388
Gather 4 Him Christian College,12650
Gavilan College,7835
Gemini School of Visual Arts & Communication,
Genesee Community College,9710
Geneva College,32770
George C Wallace Community College-Dothan,7000
George C Wallace State Community College-Hanceville,12620
George C Wallace State Community College-Selma,8060
George Fox University,41520
George Mason University,19103
George Washington University,62895
Georgetown College,45475
Georgetown University,
Georgia College & State University,17227
Georgia Gwinnett College,10998
Georgia Highlands College,8537
Georgia Institute of Technology-Main Campus,17712
Georgia Military College,12310
Georgia Northwestern Technical College,6918
Georgia Piedmont Technical College,8918
Georgia Southern University,13967
Georgia Southwestern State University,16934
Georgia State University,16358
Georgia State University-Perimeter College,10412
Georgian Court University,40381
Germanna Community College,10613
Gettysburg College,61360
Glen Oaks Community College,9818
Glendale Career College,
Glendale Community College,6573
Glendale Community College,14010
Glenville State University,13884
Gnomon,33555
Goddard College,27933
Gods Bible School and College,11796
Gogebic Community College,11499
Golden West College,6104
Goldey-Beacom College,15550
Gonzaga University,53469
Good Samaritan College of Nursing and Health Science,20982
Goodwin University,29180
Gordon College,29410
Gordon State College,7831
Goshen College,39590
Goucher College,52200
Governors State University,14108
Grace Christian University,17820
Grace College and Theological Seminary,32028
Grace Mission University,7884
Grace School of Theology,16710
Graceland University-Lamoni,36570
Grambling State University,14673
Grand Canyon University,24300
Grand Rapids Community College,12546
Grand Valley State University,16340
Grand View University,35404
Granite State College,11499
Grantham University,8680
Grays Harbor College,9219
Grayson College,8784
Great Basin College,9163
Great Bay Community College,14768
Great Falls College Montana State University,8716
Great Lakes Christian College,18955
Great Northern University,20230
Green River College,8724
Greenfield Community College,11612
